true_label,confused_with,count
card_payment_not_recognised,direct_debit_payment_not_recognised,12
card_arrival,card_delivery_estimate,7
verify_my_identity,why_verify_identity,7
unable_to_verify_identity,why_verify_identity,7
declined_transfer,declined_card_payment,6
transfer_timing,balance_not_updated_after_bank_transfer,6
reverted_card_payment?,declined_card_payment,6
top_up_by_bank_transfer_charge,transfer_fee_charged,5
pending_transfer,balance_not_updated_after_bank_transfer,5
why_verify_identity,verify_my_identity,5
